Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos
CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 23:37:00 +0000 2020,2,4
AriasLawFirmCA,𝗣𝗥𝗘𝗡𝗦𝗔 #CostaRica: @presidenciacr estableció medidas excepcionales de transporte para contener el contagio de #COVID19 durante la 𝗦𝗲𝗺𝗮𝗻𝗮 𝗦𝗮𝗻𝘁𝗮. Conozca las restricciones #ULTIMAHORA #coronavirus #riskmanagment #quedateencasa #covid19 #lawfirms,Wed Apr 01 22:58:36 +0000 2020,1,5
covid19espa,#ÚLTIMAHORA: #CostaRica informó hoy de otros 28 casos de #coronavirus elevando a 375 el número de contagios en todo el país y 2 fallecidos. #Covid19espa #COVID19,Wed Apr 01 22:47:12 +0000 2020,0,1
YairNoaj,A lo que se tiene que enfrentar el #POBRE en #Nicaragua a consecuencia del #Coronavirus #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Haití #Honduras #México #Paraguay #Panamá #Perú #EEUU #Venezuela #RepúblicaDominicana #Uruguay,Wed Apr 01 22:46:25 +0000 2020,1,2
MundosOcultosNF,#CostaRica informó hoy de otros 28 casos de #coronavirus elevando a 375 el número de contagios en todo el país. Ya hay 2 fallecidos en la nación debido a este patógeno ,Wed Apr 01 22:45:29 +0000 2020,3,9
CiberActivista4,¿Negocio redondo? #CostaRica cobrará 143 dólares por prueba del #COVIDー19 Un total de 83 mil 200 colones equivalentes a 143 $cuesta la prueba del #Coronavirus. Que opinan de la gestión del pelele @CarlosAlvQ?? En #Nicaragua la tensión médica es gratuita y vos puchos lloran,Wed Apr 01 22:34:15 +0000 2020,28,33
sieteenvictoria,En #CostaRica la población sabrá si tiene #coronavirus sólo si paga la suma de $143.00 ,Wed Apr 01 22:27:40 +0000 2020,1,0
CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 22:27:00 +0000 2020,1,3
M2Porcelanato,#Actualización #CostaRica reporta 375 casos positivos de #coronavirus #covid19.,Wed Apr 01 22:02:46 +0000 2020,0,0
CNNEE,".@camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. Hoy 9 P.M., hora de Miami. ",Wed Apr 01 22:00:11 +0000 2020,19,40
GersonDavidsf88,Como es posible que los billonarios de #CostaRica como Charon y Shoshe no esten ayudando con sus millones a las personas más afectadas por el #coronavirus los billonarios son todos iguales!,Wed Apr 01 21:47:44 +0000 2020,0,0
CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 21:33:00 +0000 2020,0,6
AriasLawFirmCA,"𝗣𝗥𝗘𝗦𝗦 𝗥𝗢𝗢𝗠 #CostaRica: Impact on Lease Contracts, Ministry of Health’s Measures, Migratory Measures and Free Trade Zones. Thank you very much for sharing the note @WorldLawGroup: http://ow.ly/xWV050z2EV4 #WeAreArias #coronavirus #stayhome #covid19 #lawfirms",Wed Apr 01 21:28:11 +0000 2020,0,1
AriasLawFirmCA,𝗣𝗥𝗘𝗦𝗦 𝗥𝗢𝗢𝗠 #CostaRica: Labor and Social Security Measures. Accede the full note in @WorldLawGroup: http://ow.ly/cCMt50z2FaO #WeAreArias #coronavirus #crisismanagement #riskmanagment #stayhome #covid19 #lawfirms #corporatecommunications #QuedateenCasa #legalmarketing,Wed Apr 01 21:27:49 +0000 2020,0,1
Amilcaratb,Información Actualizada Latinoamérica 01/04/2020 22:00h I. Canarias #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Nicaragua,Wed Apr 01 21:11:13 +0000 2020,4,8
CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 20:30:00 +0000 2020,1,4
