ID,Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos,Mentions,Hashtags,URLs
1245495408568098816,CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 23:37:00 +0000 2020,2,4,@camilocnn @CarlosAlvQ @NitoCortizo,#CostaRica #coronavirus,
1245486599628079104,tuasesorglobal,".camilocnn entrevista a CarlosAlvQ, presidente de #costaRica, y NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #Coronavirus. Hoy 9 P.M., hora de Miami. Fuente: CNNEE http://pbs.twimg.com/media/EUjNUK_X0AAhBQe.jpg?btz59=2301045901 #news #Internacional #tagbusiness",Wed Apr 01 23:02:00 +0000 2020,0,0,,#costaRica #Coronavirus #news #Internacional #tagbusiness,http://pbs.twimg.com/media/EUjNUK_X0AAhBQe.jpg?btz59=2301045901
1245485747924320258,AriasLawFirmCA,𝗣𝗥𝗘𝗡𝗦𝗔 #CostaRica: @presidenciacr estableció medidas excepcionales de transporte para contener el contagio de #COVID19 durante la 𝗦𝗲𝗺𝗮𝗻𝗮 𝗦𝗮𝗻𝘁𝗮. Conozca las restricciones #ULTIMAHORA #coronavirus #riskmanagment #quedateencasa #covid19 #lawfirms,Wed Apr 01 22:58:36 +0000 2020,1,5,@presidenciacr,#CostaRica #COVID19 #ULTIMAHORA #coronavirus #riskmanagment #quedateencasa #covid19 #lawfirms,
1245482875962736640,covid19espa,#ÚLTIMAHORA: #CostaRica informó hoy de otros 28 casos de #coronavirus elevando a 375 el número de contagios en todo el país y 2 fallecidos. #Covid19espa #COVID19,Wed Apr 01 22:47:12 +0000 2020,0,1,,#CostaRica #coronavirus #Covid19espa #COVID19,
1245482681158246404,YairNoaj,A lo que se tiene que enfrentar el #POBRE en #Nicaragua a consecuencia del #Coronavirus #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Haití #Honduras #México #Paraguay #Panamá #Perú #EEUU #Venezuela #RepúblicaDominicana #Uruguay,Wed Apr 01 22:46:25 +0000 2020,1,2,,#POBRE #Nicaragua #Coronavirus #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Hait #Honduras #M #Paraguay #Panam #Per #EEUU #Venezuela #Rep #Uruguay,
1245482443127357445,MundosOcultosNF,#CostaRica informó hoy de otros 28 casos de #coronavirus elevando a 375 el número de contagios en todo el país. Ya hay 2 fallecidos en la nación debido a este patógeno ,Wed Apr 01 22:45:29 +0000 2020,4,12,,#CostaRica #coronavirus,
1245479619895144450,CiberActivista4,¿Negocio redondo? #CostaRica cobrará 143 dólares por prueba del #COVIDー19 Un total de 83 mil 200 colones equivalentes a 143 $cuesta la prueba del #Coronavirus. Que opinan de la gestión del pelele @CarlosAlvQ?? En #Nicaragua la tensión médica es gratuita y vos puchos lloran,Wed Apr 01 22:34:15 +0000 2020,33,38,@CarlosAlvQ,#CostaRica #COVID #Coronavirus #Nicaragua,
1245477962528546819,sieteenvictoria,En #CostaRica la población sabrá si tiene #coronavirus sólo si paga la suma de $143.00 ,Wed Apr 01 22:27:40 +0000 2020,1,0,,#CostaRica #coronavirus,
1245477792428556288,CNNEPrensa,"Esta noche @camilocnn entrevista a @CarlosAlvQ, presidente de #CostaRica, y @NitoCortizo, presidente de Panamá, sobre qué están haciendo sus países para controlar la pandemia de #coronavirus. 7pmCOSTA RICA/MEX 8pmCOL 9pmVZLA 10pmARG ",Wed Apr 01 22:27:00 +0000 2020,1,3,@camilocnn @CarlosAlvQ @NitoCortizo,#CostaRica #coronavirus,
1245471695848247296,M2Porcelanato,#Actualización #CostaRica reporta 375 casos positivos de #coronavirus #covid19.,Wed Apr 01 22:02:46 +0000 2020,0,0,,#Actualizaci #CostaRica #coronavirus #covid19,https://twitter.com/AlertaNews24/status/1245424700894982152
